iShares MSCI World ETF
Fund Holdings as of,"Jul 02, 2025"
Inception Date,"Jan 10, 2012"
Shares Outstanding,"29,500,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"QCOM","QUALCOMM INC","Information Technology","Equity","11,816,246.72","0.24","11,816,246.72","72,796.00","162.32","United States","NASDAQ","USD","1.00","USD","-"
"UBER","UBER TECHNOLOGIES INC","Industrials","Equity","11,418,526.35","0.23","11,418,526.35","124,047.00","92.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","11,404,799.52","0.23","11,404,799.52","79,832.00","142.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SPGI","S&P GLOBAL INC","Financials","Equity","10,958,017.08","0.22","10,958,017.08","20,847.00","525.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","10,834,082.22","0.22","10,834,082.22","28,626.00","378.47","United States","NASDAQ","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","10,782,185.76","0.22","10,782,185.76","124,276.00","86.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","10,702,982.96","0.21","10,702,982.96","25,021.00","427.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"7203","TOYOTA MOTOR CORP","Consumer Discretionary","Equity","10,637,470.58","0.21","10,637,470.58","621,400.00","17.12","Japan","Tokyo Stock Exchange","USD","144.03","JPY","-"
"AMGN","AMGEN INC","Health Care","Equity","10,550,049.00","0.21","10,550,049.00","35,540.00","296.85","United States","NASDAQ","USD","1.00","USD","-"
"BA","BOEING","Industrials","Equity","10,525,593.26","0.21","10,525,593.26","49,642.00","212.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","10,420,000.00","0.21","10,420,000.00","10,420,000.00","1.00","United States","-","USD","1.00","USD","-"
